Time	gauge_0	gauge_1	gauge_2
19.4522	0.0254946	-1e+15	0.059377
19.4609	0.0271925	-1e+15	0.0591218
19.4691	0.0287953	-1e+15	0.0587858
19.4772	0.0303967	-1e+15	0.0583657
19.4854	0.0319773	-1e+15	0.057865
19.4936	0.0335453	-1e+15	0.0572857
19.5018	0.0351045	-1e+15	0.0566301
19.51	0.0366647	-1e+15	0.0559003
19.5182	0.0382217	-1e+15	0.0550976
19.5263	0.0397595	-1e+15	0.0542232
19.5345	0.0412624	-1e+15	0.053279
19.5427	0.0427234	-1e+15	0.052268
19.5509	0.0441513	-1e+15	0.0511972
19.5591	0.04555	-1e+15	0.0500761
19.5673	0.0469218	-1e+15	0.048907
19.5754	0.0482705	-1e+15	0.0476973
19.5836	0.0495759	-1e+15	0.046447
19.5918	0.0508243	-1e+15	0.0451596
19.6	0.0520044	-1e+15	0.0438305
19.6087	0.0531909	-1e+15	0.0423743
19.617	0.054262	-1e+15	0.0409398
19.6253	0.0552699	-1e+15	0.039481
19.6341	0.0562537	-1e+15	0.0379393
19.6424	0.0571164	-1e+15	0.0364689
19.6507	0.05791	-1e+15	0.0349852
19.659	0.058634	-1e+15	0.0334785
19.6673	0.0592867	-1e+15	0.0319513
19.6755	0.0598564	-1e+15	0.0304149
19.6838	0.0603286	-1e+15	0.0288878
19.6921	0.0606953	-1e+15	0.0273813
19.7004	0.0609578	-1e+15	0.0258987
19.7087	0.0611335	-1e+15	0.0244294
19.717	0.0612397	-1e+15	0.0229767
19.7253	0.06127	-1e+15	0.0215343
19.7336	0.0612062	-1e+15	0.0201114
19.7419	0.0610437	-1e+15	0.0187232
19.7502	0.0607843	-1e+15	0.0173667
19.7585	0.0604384	-1e+15	0.016027
19.7668	0.0600099	-1e+15	0.0146873
19.7751	0.059494	-1e+15	0.0133374
19.7834	0.0588909	-1e+15	0.0119782
19.7917	0.0582092	-1e+15	0.01062
19.8	0.0574508	-1e+15	0.0092813
19.8087	0.0565749	-1e+15	0.00795069
19.8174	0.055618	-1e+15	0.00670191
19.8261	0.0545786	-1e+15	0.00553469
19.8348	0.0534586	-1e+15	0.00444174
19.8435	0.0522567	-1e+15	0.00343421
19.8522	0.0509911	-1e+15	0.0025221
19.8609	0.0496775	-1e+15	0.00183048
19.8696	0.0483231	-1e+15	0.00133643
19.8783	0.0469274	-1e+15	0.000985791
19.887	0.0454776	-1e+15	0.000730582
19.8957	0.0439696	-1e+15	0.000539046
19.9043	0.0424133	-1e+15	0.000395231
19.913	0.0408346	-1e+15	0.00028692
19.9217	0.0392457	-1e+15	0.000203791
19.9296	0.0378102	-1e+15	0.000147616
19.9374	0.0363539	-1e+15	0.000106841
19.9452	0.0348701	-1e+15	7.75231e-05
19.953	0.0333586	-1e+15	5.65093e-05
19.9609	0.0318404	-1e+15	4.14305e-05
19.9687	0.0303276	-1e+15	3.05795e-05
19.9765	0.028826	-1e+15	2.27311e-05
19.9843	0.0273244	-1e+15	1.70315e-05
19.9922	0.025814	-1e+15	1.28738e-05
20	0.0242901	-1e+15	9.82351e-06
20.0083	0.0226635	-1e+15	7.43365e-06
20.0167	0.0210445	7.6689e-07	5.68925e-06
20.025	0.019443	1.01427e-06	4.40329e-06
20.0326	0.0180016	1.09058e-06	3.52226e-06
20.0406	0.0165236	1.51301e-06	2.81032e-06
20.049	0.0149897	2.19641e-06	2.23479e-06
20.0574	0.0134742	2.89592e-06	1.79283e-06
20.0658	0.011992	5.30372e-06	1.45109e-06
20.0741	0.0105787	1.0421e-05	1.18442e-06
20.0825	0.00929189	1.84666e-05	9.74319e-07
20.0909	0.00811867	3.05624e-05	8.07437e-07
